,index,Instance, Product/Description, Migrations, SumStartingInstance, DaysStartingInstance, SumMigrations, DaysMigrations, Difference
144,919,c5n.18xlarge, SUSE Linux,26,12067.315400000005,396,9723.196100000036,396,2344.1192999999657
145,412,c5.12xlarge, Windows,19,22464.963599999995,318,20125.452099999835,318,2339.511500000161
146,765,c5.metal, Linux/UNIX,65,9679.9248,309,7342.6199999999935,309,2337.304800000007
147,867,r5d.16xlarge, SUSE Linux,25,9229.0968,309,6892.599199999956,309,2336.4976000000447
148,487,c5.24xlarge, SUSE Linux,91,12135.8219,318,9863.893199999997,318,2271.928700000004
149,408,x1e.8xlarge, Windows,23,34778.320100000004,396,32516.016199999878,396,2262.3039000001268
150,954,m5a.16xlarge, Red Hat Enterprise Linux,13,7850.245399999998,309,5611.548300000026,309,2238.697099999972
151,531,r5.4xlarge, Red Hat Enterprise Linux,37,4581.826,325,2355.2960000000007,325,2226.53
152,726,m5a.16xlarge, Linux/UNIX,13,6886.685400000002,309,4661.768300000002,309,2224.917100000001
153,820,r5ad.4xlarge, SUSE Linux,27,6069.2421,396,3873.540199999984,396,2195.7019000000155
154,475,x1e.8xlarge, SUSE Linux,27,21829.1345,396,19636.016599999806,396,2193.1179000001976
155,866,m5a.16xlarge, SUSE Linux,21,8839.338599999995,309,6651.140400000002,309,2188.1981999999925
156,871,r5d.12xlarge, SUSE Linux,23,9547.467599999998,396,7398.567400000081,396,2148.9001999999173
157,123,c5n.9xlarge, Windows,15,21241.72100000001,396,19114.137499999983,396,2127.583500000026
158,479,x1e.8xlarge, Linux/UNIX,23,20879.93449999999,396,18759.1735,396,2120.7609999999913
159,462,m5d.12xlarge, SUSE Linux,33,9122.1625,396,7029.703500000013,396,2092.4589999999844
160,846,r5n.16xlarge, SUSE Linux,9,6140.2408,204,4060.266800000009,204,2079.973999999991
161,730,r5.16xlarge, SUSE Linux,19,8955.682899999996,309,6889.093599999954,309,2066.5893000000424
162,886,r5a.16xlarge, SUSE Linux,15,8964.308200000003,309,6950.793999999954,309,2013.5142000000478
163,896,m5dn.16xlarge, SUSE Linux,9,5894.4686999999985,204,3887.117199999997,204,2007.3515000000007
164,955,m5n.16xlarge, SUSE Linux,9,5920.053699999998,204,3935.356699999997,204,1984.6970000000006
165,665,r4.16xlarge, SUSE Linux,24,10971.141099999997,396,8995.043700000006,396,1976.0973999999915
166,262,r5.metal, SUSE Linux,26,11347.349599999998,396,9372.383499999982,396,1974.9661000000158
167,593,p2.8xlarge, Red Hat Enterprise Linux,34,19581.0917,325,17615.318699999858,325,1965.7730000001432
168,840,m5n.16xlarge, Red Hat Enterprise Linux,8,5965.243699999999,204,4002.8116999999934,204,1962.4320000000055
169,838,m5n.16xlarge, Linux/UNIX,8,5329.8037,204,3374.2617000000105,204,1955.5419999999906
170,98,c5n.9xlarge, Linux/UNIX,23,5511.1448999999975,396,3581.868399999982,396,1929.2765000000165
171,594,p2.8xlarge, SUSE Linux,32,23276.282399999996,396,21365.89300000009,396,1910.3893999999013
172,888,r5dn.16xlarge, SUSE Linux,8,5983.196900000004,204,4073.762800000009,204,1909.4340999999952
173,393,c5.12xlarge, SUSE Linux,77,7108.8027,318,5205.389300000011,318,1903.4133999999892
174,118,m5.24xlarge, Linux/UNIX,22,11063.5115,396,9192.905999999979,396,1870.6055000000201
175,350,i2.4xlarge, Red Hat Enterprise Linux,18,10653.045299999996,325,8785.115499999949,325,1867.9298000000474
176,572,p2.8xlarge, Linux/UNIX,30,22326.38239999999,396,20461.665600000048,396,1864.71679999994
177,814,m5ad.4xlarge, Windows,17,10443.0215,396,8579.382599999923,396,1863.6389000000781
178,174,d2.4xlarge, Red Hat Enterprise Linux,13,9136.067999999996,325,7300.4094000000405,325,1835.658599999958
179,728,c5d.9xlarge, SUSE Linux,47,7094.6101,396,5275.401100000006,396,1819.2089999999928
180,790,m5ad.4xlarge, Linux/UNIX,13,3442.442300000001,396,1652.7884000000156,396,1789.6538999999852
