,index,Instance, Product/Description, Migrations, Days, SumStartingInstance, SumMigrations, BidPriceStart, BidPriceMigrations, Difference
396,445,r5d.2xlarge, Windows,4,406,4976.5805000000155,4413.900000000016,0,0,562.6804999999995
397,413,r5a.2xlarge, Windows,3,406,4974.312000000015,4411.699200000014,0,0,562.6128000000017
398,494,r5.2xlarge, Windows,1,406,4972.949700000014,4411.256999999984,0,0,561.6927000000296
399,930,a1.4xlarge, SUSE Linux,4,320,2231.2720000000004,1670.0735999999947,72,0,561.1984000000057
400,251,i3.xlarge, Red Hat Enterprise Linux,7,327,1771.0528999999906,1212.2038000000086,0,0,558.8490999999822
401,388,m5d.4xlarge, Red Hat Enterprise Linux,43,323,3071.2223000000067,2512.9545999999978,1,0,558.267700000009
402,660,r5d.xlarge, Linux/UNIX,27,407,968.3558000000012,417.53849999999727,0,0,550.8173000000038
403,155,m5.4xlarge, SUSE Linux,38,407,3784.367200000001,3235.082299999996,0,0,549.2849000000057
404,580,z1d.xlarge, Linux/UNIX,14,407,1647.096600000003,1100.1569000000036,0,0,546.9396999999993
405,937,z1d.xlarge, SUSE Linux,12,407,2674.2466000000004,2129.035900000008,0,0,545.2106999999924
406,753,r5a.2xlarge, Red Hat Enterprise Linux,22,323,2202.925999999999,1665.275500000007,1,0,537.650499999992
407,411,m5d.2xlarge, Windows,1,407,4923.07199999997,4386.249599999958,0,0,536.8224000000118
408,740,m5a.2xlarge, Windows,1,407,4923.07199999997,4386.249599999958,0,0,536.8224000000118
409,147,m5.2xlarge, Windows,2,407,4923.07199999997,4387.087199999958,0,0,535.984800000012
410,646,r4.2xlarge, Windows,1,406,4908.052800000028,4372.185600000025,0,0,535.8672000000024
411,640,c4.2xlarge, Linux/UNIX,155,407,1282.3607000000004,753.7138999999999,0,0,528.6468000000003
412,282,m2.2xlarge, Windows,1,406,2359.322000000023,1835.736,0,0,523.586000000023
413,115,t2.2xlarge, Red Hat Enterprise Linux,4,327,2421.892800000001,1900.9583999999913,0,0,520.9344000000096
414,447,r5d.2xlarge, Red Hat Enterprise Linux,16,323,2242.555500000004,1725.8441999999984,19,0,516.7113000000049
415,894,r5dn.4xlarge, SUSE Linux,4,202,1968.412400000005,1455.3712000000035,0,0,513.0412000000015
416,997,m5dn.2xlarge, SUSE Linux,5,202,1522.3704000000007,1009.9495000000037,34,0,512.420899999997
417,440,c5.2xlarge, Windows,1,406,4847.639999999991,4336.607999999982,0,0,511.03200000000925
418,80,m4.2xlarge, Windows,1,407,4859.579999999991,4348.5479999999825,0,0,511.03200000000834
419,737,c5d.2xlarge, Windows,3,407,4860.0572999999895,4349.380399999983,0,0,510.67690000000863
420,877,r5a.2xlarge, SUSE Linux,29,406,2685.3735,2179.0457000000006,19,0,506.3277999999996
421,152,m5.2xlarge, SUSE Linux,34,406,2564.3842999999983,2066.209000000004,0,0,498.17529999999437
422,498,c1.xlarge, SUSE Linux,19,407,2018.213700000002,1522.8352999999952,0,0,495.3784000000071
423,514,c1.xlarge, Linux/UNIX,19,407,1041.4136999999994,546.0352999999988,0,0,495.3784000000006
424,153,c5n.2xlarge, Red Hat Enterprise Linux,16,323,2102.075799999999,1609.7797999999964,0,0,492.29600000000295
425,613,c4.2xlarge, Windows,1,407,4799.995199999989,4312.843199999964,0,0,487.1520000000264
426,402,m5d.2xlarge, Red Hat Enterprise Linux,41,324,2137.2957,1656.8401000000008,0,0,480.4555999999985
427,532,c3.2xlarge, Windows,1,320,3452.160000000003,2973.6767999999847,0,0,478.4832000000178
428,451,c5.2xlarge, SUSE Linux,49,406,2461.6358,1988.4345999999985,0,0,473.20120000000117
429,281,t3.2xlarge, Red Hat Enterprise Linux,5,327,2284.051799999991,1811.222400000012,0,0,472.8293999999794
430,96,m4.2xlarge, SUSE Linux,20,407,2466.943200000002,2001.9206999999967,0,0,465.02250000000527
431,1030,m5n.4xlarge, SUSE Linux,5,202,1871.217800000003,1413.6550999999974,0,0,457.56270000000563
432,828,r5dn.xlarge, SUSE Linux,4,202,1201.6862999999992,752.5189000000005,55,0,449.1673999999987
433,254,r4.xlarge, Linux/UNIX,18,407,851.2490999999994,405.0188999999994,99,0,446.2302
434,1022,g3s.xlarge, Linux/UNIX,17,320,2183.4659000000006,1738.5213000000092,46,0,444.9445999999914
435,148,c5n.2xlarge, Windows,4,406,4847.639999999991,4406.394599999982,0,0,441.24540000000883
436,132,m5.8xlarge, SUSE Linux,7,221,3271.970499999999,2831.791200000004,0,0,440.17929999999484
437,716,m5a.2xlarge, Red Hat Enterprise Linux,20,323,2092.299199999995,1656.851300000002,0,0,435.44789999999284
438,605,z1d.3xlarge, Windows,8,407,9094.676199999953,8659.643799999958,15,0,435.03239999999465
439,1001,r5n.2xlarge, Red Hat Enterprise Linux,8,202,1470.464200000001,1037.1862999999987,41,0,433.27790000000226
440,1002,r5n.2xlarge, Linux/UNIX,8,202,840.224199999999,406.9462999999983,48,0,433.2779000000008
441,576,r5.2xlarge, Red Hat Enterprise Linux,65,324,2161.9037000000008,1733.0181999999984,0,0,428.8855000000021
442,353,i2.xlarge, Red Hat Enterprise Linux,4,324,2886.7406000000105,2459.161299999995,0,0,427.5793000000158
443,763,m5ad.xlarge, Linux/UNIX,13,400,810.528499999998,386.6746000000024,50,0,423.85389999999563
444,39,d2.xlarge, Red Hat Enterprise Linux,1,324,2496.096000000001,2078.783999999986,0,0,417.3120000000149
445,902,r5d.xlarge, SUSE Linux,24,407,1995.5308000000007,1580.2481000000018,0,0,415.2826999999986
446,696,m5.xlarge, Red Hat Enterprise Linux,74,327,1207.3533000000004,807.0734999999997,0,0,400.2798000000007
447,488,r3.2xlarge, Windows,5,321,3873.488499999977,3474.2720999999797,0,0,399.21639999999746
448,992,g3s.xlarge, SUSE Linux,22,320,2951.465899999999,2554.259800000014,16,0,397.20609999998436
449,799,m5.xlarge, Linux/UNIX,79,407,799.3772999999999,412.7496,0,0,386.62769999999983
450,64,t3.xlarge, Red Hat Enterprise Linux,15,327,1250.2321000000022,865.9552000000044,32,0,384.27689999999774
451,670,c5d.2xlarge, Red Hat Enterprise Linux,19,323,1980.137800000004,1603.7161999999923,0,0,376.42160000001167
