Instance, Product/Description, Days, MigrationsMin, SumStartingInstance, SumMigrations, Difference
r5n.8xlarge, Windows, 183, 0, 7934.14799999999, 7934.14799999999, 0.0
m5.8xlarge, Linux/UNIX, 288, 14, 2213.975399999994, 2212.888099999993, 1.0873000000010506
c5n.18xlarge, Red Hat Enterprise Linux, 303, 15, 9423.78479999999, 5998.156600000025, 3425.6281999999655
c5d.xlarge, Windows, 387, 1, 2310.854399999987, 2067.081599999992, 243.7727999999952
m5.large, Windows, 387, 1, 1170.2879999999948, 1042.943999999997, 127.34399999999778
c5n.18xlarge, Linux/UNIX, 388, 17, 10858.365799999938, 6490.345299999941, 4368.020499999997
r4.4xlarge, SUSE Linux, 388, 14, 4253.351499999997, 3069.2545000000014, 1184.0969999999957
m5.large, Linux/UNIX, 388, 45, 379.9214999999999, 190.2914999999994, 189.63000000000054
m5.8xlarge, Windows, 288, 0, 12381.46560000007, 12381.46560000007, 0.0
m5.large, SUSE Linux, 388, 34, 1311.1215, 1187.1587, 123.96280000000002
m5.large, Red Hat Enterprise Linux, 308, 42, 777.8688999999995, 596.3080000000019, 181.56089999999756
m5.2xlarge, Windows, 388, 2, 4693.247999999979, 4182.890399999962, 510.35760000001665
c5n.2xlarge, Windows, 387, 4, 4620.779999999999, 4179.8537999999835, 440.92620000001534
c5n.4xlarge, Linux/UNIX, 388, 11, 3501.5551999999975, 1373.7495999999983, 2127.8055999999992
m5.4xlarge, Linux/UNIX, 388, 61, 2682.1118, 1777.4473000000005, 904.6644999999996
c5n.4xlarge, Red Hat Enterprise Linux, 303, 9, 2880.0789, 1996.7005000000045, 883.3783999999955
m5.2xlarge, SUSE Linux, 387, 27, 2450.257799999999, 1974.575200000004, 475.68259999999486
c5n.2xlarge, Red Hat Enterprise Linux, 304, 17, 1951.4573000000003, 1515.8437999999971, 435.6135000000031
t3a.micro, Windows, 351, 1, 101.08799999999924, 97.84800000000023, 3.2399999999990143
m5.4xlarge, SUSE Linux, 388, 42, 3613.311800000001, 3092.5702999999985, 520.7415000000024
m5.4xlarge, Red Hat Enterprise Linux, 308, 47, 3496.0090999999993, 2376.820399999999, 1119.1887000000002
r5n.large, Windows, 183, 0, 495.85680000000167, 495.85680000000167, 0.0
t3a.micro, SUSE Linux, 351, 7, 666.0099000000002, 639.4104000000026, 26.599499999997647
r5n.large, Linux/UNIX, 183, 0, 91.79279999999954, 91.79279999999954, 0.0
r5n.large, Red Hat Enterprise Linux, 183, 0, 355.31279999999913, 355.31279999999913, 0.0
t2.large, SUSE Linux, 388, 3, 1200.4309999999978, 1190.0735999999922, 10.357400000005555
d2.2xlarge, Windows, 387, 0, 5897.879999999946, 5897.879999999946, 0.0
t3a.large, Windows, 351, 1, 423.190099999998, 394.8048000000028, 28.385299999995198
m4.xlarge, SUSE Linux, 388, 28, 1568.2648999999997, 1425.2988999999927, 142.96600000000694
d2.2xlarge, SUSE Linux, 387, 0, 4774.031999999979, 4774.031999999979, 0.0
t2.large, Windows, 388, 0, 519.6096000000017, 519.6096000000017, 0.0
d2.4xlarge, Linux/UNIX, 388, 0, 7710.33600000004, 7710.33600000004, 0.0
d2.2xlarge, Red Hat Enterprise Linux, 304, 1, 4756.992000000018, 3971.6160000000104, 785.3760000000079
t2.large, Red Hat Enterprise Linux, 308, 5, 773.2032000000011, 650.8032000000001, 122.400000000001
m4.xlarge, Red Hat Enterprise Linux, 308, 42, 1023.1827000000012, 743.7421999999981, 279.4405000000031
d2.4xlarge, SUSE Linux, 388, 0, 8641.535999999998, 8641.535999999998, 0.0
d2.4xlarge, Windows, 388, 0, 10522.56000000004, 10522.56000000004, 0.0
m4.xlarge, Linux/UNIX, 388, 53, 637.1129999999999, 371.36170000000044, 265.7512999999995
d2.4xlarge, Red Hat Enterprise Linux, 304, 1, 8565.504000000043, 6994.752000000038, 1570.752000000005
m4.xlarge, Windows, 387, 1, 2310.854399999987, 2067.081599999992, 243.7727999999952
m5.12xlarge, Windows, 387, 1, 28088.769599999916, 25020.688799999993, 3068.0807999999233
c5n.metal, Windows, 245, 0, 24838.295999999977, 24838.295999999977, 0.0
t2.2xlarge, Windows, 388, 0, 1614.7007999999905, 1614.7007999999905, 0.0
r5.16xlarge, Linux/UNIX, 288, 0, 4623.436800000027, 4623.436800000027, 0.0
t3a.medium, Red Hat Enterprise Linux, 305, 3, 543.9738999999997, 508.0151999999968, 35.95870000000292
m5.12xlarge, SUSE Linux, 388, 39, 9972.743799999997, 7199.419800000013, 2773.3239999999832
c5n.xlarge, Linux/UNIX, 388, 11, 678.6865000000005, 360.99519999999995, 317.6913000000005
r5a.12xlarge, Linux/UNIX, 387, 15, 9126.894800000013, 4924.36720000002, 4202.527599999993
c5n.metal, Linux/UNIX, 245, 0, 5363.735999999988, 5363.735999999988, 0.0
m5.16xlarge, Red Hat Enterprise Linux, 288, 0, 5311.872000000019, 5311.872000000019, 0.0
m5.16xlarge, Linux/UNIX, 288, 0, 4413.312000000004, 4413.312000000004, 0.0
c5n.metal, Red Hat Enterprise Linux, 245, 0, 6128.13600000003, 6128.13600000003, 0.0
c5n.xlarge, Windows, 387, 1, 2310.854399999987, 2067.081599999992, 243.7727999999952
d2.2xlarge, Linux/UNIX, 387, 0, 3845.23200000002, 3845.23200000002, 0.0
t3a.medium, Linux/UNIX, 351, 2, 96.82199999999989, 81.15119999999979, 15.6708000000001
t2.large, Linux/UNIX, 388, 3, 269.2309999999997, 258.87360000000103, 10.357399999998677
m5.12xlarge, Red Hat Enterprise Linux, 308, 32, 8559.196800000018, 4969.263799999998, 3589.93300000002
c5n.xlarge, Red Hat Enterprise Linux, 304, 6, 1056.3223999999998, 719.0242999999974, 337.29810000000236
m5.12xlarge, Linux/UNIX, 388, 33, 9041.543800000003, 4973.035299999997, 4068.5085000000063
t3.large, SUSE Linux, 387, 26, 1090.1877, 1079.3303000000008, 10.857399999999188
t3.micro, Red Hat Enterprise Linux, 308, 2, 480.4894000000006, 466.6368000000026, 13.852599999998006
i3.4xlarge, SUSE Linux, 388, 13, 5384.482800000003, 4419.5360000000055, 964.9467999999979
i3.4xlarge, Windows, 387, 1, 10313.395200000023, 10313.395200000023, 0.0
r5.metal, Red Hat Enterprise Linux, 304, 14, 8950.163999999953, 5895.881300000019, 3054.2826999999343
r4.large, Red Hat Enterprise Linux, 308, 9, 763.2190999999985, 595.9474999999991, 167.27159999999947
i3.8xlarge, Linux/UNIX, 388, 23, 15471.596100000059, 7031.551399999984, 8440.044700000075
i3en.large, Red Hat Enterprise Linux, 303, 2, 929.408999999996, 929.3615999999959, 0.04740000000015243
r5.metal, Windows, 387, 3, 51604.12799999969, 47328.94560000032, 4275.182399999372
t3.large, Red Hat Enterprise Linux, 307, 24, 742.4378999999986, 627.8038999999998, 114.63399999999888
i3en.metal, Linux/UNIX, 207, 1, 48069.305300000065, 16181.683200000067, 31887.6221
t3.micro, SUSE Linux, 388, 5, 758.7671999999927, 738.2319999999934, 20.53519999999935
r4.large, Linux/UNIX, 388, 7, 411.2464999999999, 189.60109999999935, 221.64540000000056
i3.4xlarge, Linux/UNIX, 388, 17, 4453.282799999997, 3488.335999999992, 964.9468000000052
i3.4xlarge, Red Hat Enterprise Linux, 308, 17, 5848.646100000043, 3763.8483999999885, 2084.797700000054
i3en.metal, Red Hat Enterprise Linux, 207, 1, 48715.14530000015, 16827.523199999978, 31887.62210000017
i3en.large, Windows, 338, 2, 1342.3312999999964, 1296.297599999997, 46.0336999999995
i3.8xlarge, SUSE Linux, 388, 22, 16402.796099999974, 7962.75139999993, 8440.044700000044
i3en.large, Linux/UNIX, 338, 3, 595.4025000000024, 549.9936000000021, 45.40890000000036
t3.micro, Linux/UNIX, 388, 0, 28.867200000000178, 28.867200000000178, 0.0
i3en.6xlarge, Windows, 338, 0, 15555.571199999953, 15555.571199999953, 0.0
i3.8xlarge, Windows, 388, 1, 20680.089600000047, 20680.089600000047, 0.0
i3.8xlarge, Red Hat Enterprise Linux, 308, 24, 11391.737900000031, 6564.44139999997, 4827.296500000061
i3.16xlarge, SUSE Linux, 388, 32, 15035.184599999935, 14876.851199999872, 158.3334000000632
i3en.xlarge, Red Hat Enterprise Linux, 303, 16, 1471.4066000000041, 1422.403200000003, 49.00340000000119
t3.nano, Linux/UNIX, 387, 1, 14.860799999999912, 14.860799999999912, 0.0
i3.16xlarge, Windows, 388, 1, 41360.17920000009, 41360.17920000009, 0.0
r4.xlarge, Red Hat Enterprise Linux, 308, 9, 1079.746599999997, 788.9974999999994, 290.7490999999976
t3.2xlarge, Windows, 387, 2, 2296.0352000000075, 2296.0348000000076, 0.0003999999998995918
i3.2xlarge, Linux/UNIX, 388, 31, 2108.7463, 1743.7428999999959, 365.0034000000039
i3en.xlarge, Linux/UNIX, 338, 16, 1148.990600000004, 1099.9872000000041, 49.00339999999983
r5.metal, Linux/UNIX, 387, 24, 10679.478000000003, 6332.0118000000475, 4347.466199999955
i3.16xlarge, Red Hat Enterprise Linux, 308, 30, 20624.56230000007, 12158.169600000041, 8466.39270000003
t3.nano, Red Hat Enterprise Linux, 308, 3, 462.0, 455.44320000000215, 6.55679999999785
i3.16xlarge, Linux/UNIX, 388, 32, 14103.984599999976, 13945.651199999968, 158.33340000000862
r5.xlarge, Red Hat Enterprise Linux, 305, 103, 972.7879999999983, 759.0399999999996, 213.74799999999868
i3en.metal, SUSE Linux, 207, 4, 48668.85529999993, 16778.28319999998, 31890.57209999995
t3.large, Linux/UNIX, 387, 23, 235.8687000000001, 232.67509999999933, 3.193600000000771
i3.2xlarge, Windows, 387, 1, 5156.697600000011, 5156.697600000011, 0.0
r5.xlarge, Linux/UNIX, 388, 107, 695.7151000000005, 405.15759999999904, 290.5575000000014
i3.2xlarge, SUSE Linux, 388, 24, 3039.9463000000032, 2674.9429000000173, 365.00339999998596
t3.micro, Windows, 388, 0, 114.53759999999919, 114.53759999999919, 0.0
i3en.metal, Windows, 207, 1, 69983.6660999998, 38120.3711999999, 31863.2948999999
i3.2xlarge, Red Hat Enterprise Linux, 308, 23, 3404.7485000000133, 2358.912200000009, 1045.8363000000045
i3en.12xlarge, Linux/UNIX, 338, 1, 13235.664899999974, 13199.846399999968, 35.81850000000668
i3en.3xlarge, Linux/UNIX, 338, 6, 3423.1370999999936, 3299.961599999992, 123.17550000000165
t3.medium, Linux/UNIX, 388, 0, 116.39999999999925, 116.39999999999925, 0.0
t3.medium, Red Hat Enterprise Linux, 307, 2, 590.9136000000012, 534.8136000000019, 56.09999999999934
i3.xlarge, Windows, 387, 1, 2578.3488000000057, 2578.3488000000057, 0.0
i3en.3xlarge, Red Hat Enterprise Linux, 303, 5, 4383.505000000032, 3903.6096000000293, 479.8954000000026
i3en.2xlarge, Windows, 338, 0, 5185.190399999988, 5185.190399999988, 0.0
i3en.12xlarge, Red Hat Enterprise Linux, 303, 1, 12814.176900000048, 12778.35840000005, 35.818499999997584
r4.large, Windows, 388, 1, 1172.380800000006, 1045.036800000006, 127.34400000000005
r4.large, SUSE Linux, 388, 9, 1342.4184999999993, 1185.205300000004, 157.21319999999537
i3.xlarge, SUSE Linux, 388, 22, 1927.3122999999991, 1820.0976000000128, 107.21469999998635
t3.medium, SUSE Linux, 388, 5, 973.5630000000046, 965.2786000000038, 8.284400000000801
i3.xlarge, Red Hat Enterprise Linux, 308, 8, 1665.4432999999926, 1142.4592000000075, 522.9840999999851
t3.large, Windows, 387, 0, 489.02360000000306, 489.02360000000306, 0.0
i3en.3xlarge, Windows, 338, 2, 7874.661799999975, 7777.7855999999765, 96.87619999999879
r4.xlarge, Linux/UNIX, 388, 18, 820.0306999999996, 386.8778999999994, 433.1528000000002
i3en.24xlarge, Linux/UNIX, 338, 0, 26399.692799999935, 26399.692799999935, 0.0
i3en.24xlarge, Windows, 338, 0, 62222.28479999981, 62222.28479999981, 0.0
i3en.24xlarge, Red Hat Enterprise Linux, 303, 0, 24611.35680000013, 24611.35680000013, 0.0
i3en.24xlarge, SUSE Linux, 338, 0, 27310.742800000175, 27310.742800000175, 0.0
i3en.2xlarge, Red Hat Enterprise Linux, 303, 11, 2930.5004999999896, 2917.5263999999897, 12.974099999999908
i3en.2xlarge, Linux/UNIX, 338, 11, 2212.948500000007, 2199.9744000000082, 12.974099999998543
i3en.12xlarge, Windows, 338, 0, 31111.142399999906, 31111.142399999906, 0.0
r5.metal, SUSE Linux, 387, 10, 11709.12799999996, 9490.93569999999, 2218.1922999999697
i3.large, Red Hat Enterprise Linux, 308, 3, 1054.423499999996, 793.4328000000048, 260.9906999999912
i3.large, SUSE Linux, 388, 1, 1367.001600000003, 1367.001600000003, 0.0
t3.medium, Windows, 388, 0, 287.74080000000157, 287.74080000000157, 0.0
i3.large, Windows, 388, 1, 1292.505600000003, 1292.505600000003, 0.0
i3.large, Linux/UNIX, 388, 1, 435.801599999999, 435.801599999999, 0.0
i3en.6xlarge, Red Hat Enterprise Linux, 303, 0, 6861.859199999965, 6861.859199999965, 0.0
i3.metal, Windows, 388, 2, 42072.07630000012, 41360.17920000009, 711.8971000000238
i3.xlarge, Linux/UNIX, 388, 5, 996.1123000000005, 871.603199999998, 124.50910000000249
i3.metal, SUSE Linux, 388, 2, 15507.616699999864, 14876.851199999872, 630.7654999999922
i3en.6xlarge, Linux/UNIX, 338, 0, 6599.923199999984, 6599.923199999984, 0.0
i3.metal, Linux/UNIX, 388, 2, 14576.416699999969, 13945.651199999968, 630.7655000000013
i3.metal, Red Hat Enterprise Linux, 303, 0, 11835.907200000036, 11835.907200000036, 0.0
