Instance, Product/Description, Migrations, Days, SumStartingInstance, SumMigrations, BidPriceStart, BidPriceMigrations, Difference
t3.micro, SUSE Linux, 5, 407, 805.7807999999917, 785.2455999999924, 0, 0, 20.53519999999935
r4.large, Linux/UNIX, 7, 407, 426.7049, 198.6754999999992, 70, 0, 228.0294000000008
i3.4xlarge, Linux/UNIX, 17, 407, 4641.300199999998, 3658.4836999999916, 0, 0, 982.8165000000063
i3.4xlarge, Red Hat Enterprise Linux, 19, 327, 6220.924500000046, 3995.363499999986, 0, 0, 2225.5610000000597
i3en.metal, Red Hat Enterprise Linux, 2, 226, 50502.77830000017, 18295.332700000006, 149, 0, 32207.445600000166
i3en.large, Windows, 2, 357, 1415.2000999999962, 1369.1663999999967, 11, 0, 46.0336999999995
i3.8xlarge, SUSE Linux, 21, 407, 17586.57209999998, 8360.830799999922, 0, 0, 9225.741300000058
i3en.large, Linux/UNIX, 5, 357, 626.319300000003, 580.9052000000024, 18, 0, 45.41410000000053
t3.micro, Linux/UNIX, 0, 407, 30.28080000000019, 30.28080000000019, 0, 0, 0.0
i3en.6xlarge, Windows, 0, 357, 16429.99679999995, 16429.99679999995, 0, 0, 0.0
i3.8xlarge, Windows, 1, 407, 21692.77440000007, 21692.77440000007, 0, 0, 0.0
i3.8xlarge, Red Hat Enterprise Linux, 24, 327, 12077.014700000012, 6965.163399999967, 13, 0, 5111.851300000046
i3.16xlarge, SUSE Linux, 32, 407, 15763.690199999928, 15605.356799999863, 0, 0, 158.333400000065
i3en.xlarge, Red Hat Enterprise Linux, 16, 322, 1560.6002000000055, 1511.5968000000046, 0, 0, 49.003400000000966
t3.nano, Linux/UNIX, 1, 406, 15.5903999999999, 15.5903999999999, 0, 0, 0.0
i3.16xlarge, Windows, 1, 407, 43385.54880000014, 43385.54880000014, 0, 0, 0.0
r4.xlarge, Red Hat Enterprise Linux, 10, 327, 1146.0945999999967, 834.5573999999993, 0, 0, 311.53719999999737
t3.2xlarge, Windows, 2, 406, 2408.8496000000027, 2408.849200000003, 0, 0, 0.0003999999998995918
i3.2xlarge, Linux/UNIX, 30, 407, 2197.6811, 1830.0565999999958, 0, 0, 367.624500000004
i3en.xlarge, Linux/UNIX, 16, 357, 1210.824200000004, 1161.8208000000047, 0, 0, 49.003399999999374
r5.metal, Linux/UNIX, 23, 406, 11199.617800000016, 6753.094000000046, 0, 0, 4446.52379999997
i3.16xlarge, Red Hat Enterprise Linux, 33, 327, 21935.835900000075, 12900.355200000055, 0, 0, 9035.48070000002
t3.nano, Red Hat Enterprise Linux, 3, 327, 490.5, 483.53280000000257, 0, 0, 6.967199999997433
i3.16xlarge, Linux/UNIX, 32, 407, 14786.890199999974, 14628.556799999966, 0, 0, 158.33340000000862
r5.xlarge, Red Hat Enterprise Linux, 103, 324, 1031.4928999999986, 805.4934999999996, 0, 0, 225.999399999999
i3en.metal, SUSE Linux, 5, 226, 50442.808299999924, 18291.45370000002, 149, 0, 32151.354599999904
t3.large, Linux/UNIX, 26, 406, 255.36230000000012, 244.12069999999935, 0, 0, 11.241600000000773
i3.2xlarge, Windows, 1, 406, 5409.8688000000175, 5409.8688000000175, 0, 0, 0.0
