Instance, Product/Description, Region, Migrations, SumStartingInstance, DaysStartingInstance, SumMigrations, DaysMigrations, Difference
g2.8xlarge, Red Hat Enterprise Linux, eu-central-1, 1, 357.61786666666575, 323, 341.2172, 323, 16.400666666665757
g2.8xlarge, Red Hat Enterprise Linux, eu-west-1, 0, 314.0851999999983, 323, 314.08520000000004, 323, -1.7621459846850485e-12
g2.8xlarge, Red Hat Enterprise Linux, us-east-1, 3, 216.57999999999933, 238, 294.84, 324, -78.26000000000064
g2.8xlarge, Red Hat Enterprise Linux, us-west-1, 1, 224.6243999999989, 231, 308.2508, 317, -83.62640000000113
g2.8xlarge, Red Hat Enterprise Linux, us-west-2, 0, 293.0200000000002, 322, 293.02, 322, 2.2737367544323206e-13
g2.8xlarge, SUSE Linux, ap-northeast-1, 0, 466.3295999999983, 396, 466.3295999999998, 396, -1.4779288903810084e-12
g2.8xlarge, SUSE Linux, ap-southeast-1, 0, 514.800000000003, 396, 514.8000000000003, 396, 2.7284841053187847e-12
g2.8xlarge, SUSE Linux, ap-southeast-2, 6, 541.8957374999973, 396, 519.859758333333, 396, 22.03597916666422
g2.8xlarge, SUSE Linux, eu-central-1, 2, 406.45440000000264, 396, 406.45439999999974, 396, 2.8990143619012088e-12
g2.8xlarge, SUSE Linux, eu-west-1, 0, 373.1904000000019, 396, 373.1903999999998, 396, 2.1032064978498966e-12
g2.8xlarge, SUSE Linux, us-east-1, 1, 272.79999999999905, 310, 348.4800000000001, 396, -75.68000000000103
g2.8xlarge, SUSE Linux, us-west-1, 1, 292.1440000000001, 310, 373.1903999999998, 396, -81.04639999999966
g2.8xlarge, SUSE Linux, us-west-2, 0, 348.47999999999865, 396, 348.4800000000001, 396, -1.4210854715202004e-12
m4.4xlarge, SUSE Linux, ap-northeast-1, 16, 148.21124821428575, 396, 144.97560000000001, 396, 3.2356482142857317
m4.4xlarge, SUSE Linux, ap-northeast-2, 0, 60.46660000000008, 178, 60.46659999999997, 178, 1.0658141036401503e-13
m4.4xlarge, SUSE Linux, ap-south-1, 0, 56.99025, 182, 56.99024999999999, 182, 1.4210854715202004e-14
m4.4xlarge, SUSE Linux, ap-southeast-1, 16, 139.1759291666674, 396, 138.24360000000001, 396, 0.9323291666673867
m4.4xlarge, SUSE Linux, ap-southeast-2, 2, 148.76450833333365, 396, 148.7376000000001, 396, 0.026908333333551582
m4.4xlarge, SUSE Linux, ca-central-1, 7, 58.825032236842006, 177, 58.66414166666664, 177, 0.16089057017536845
m4.4xlarge, SUSE Linux, eu-central-1, 13, 144.61919999999986, 396, 144.61919999999992, 396, -5.684341886080802e-14
m4.4xlarge, SUSE Linux, eu-west-1, 42, 159.58530083333326, 396, 157.8539879385965, 396, 1.7313128947367602
m4.4xlarge, SUSE Linux, eu-west-2, 2, 62.5314500000001, 178, 62.53140000000002, 178, 5.000000007981953e-05
m4.4xlarge, SUSE Linux, sa-east-1, 10, 164.8773999999993, 396, 164.82494583333335, 396, 0.05245416666596725
m4.4xlarge, SUSE Linux, us-east-1, 55, 160.24202916666675, 396, 159.83432416666665, 396, 0.40770500000010657
m4.4xlarge, SUSE Linux, us-east-2, 35, 52.531793333333326, 183, 52.3670975, 183, 0.16469583333332594
m4.4xlarge, SUSE Linux, us-west-1, 7, 141.70263750000018, 396, 139.43483895881005, 396, 2.267798541190132
m4.4xlarge, SUSE Linux, us-west-2, 28, 165.65468574561416, 396, 164.34995657894737, 396, 1.3047291666667888
t2.medium, Windows, ap-northeast-1, 0, 14.335199999999848, 396, 14.335200000000002, 396, -1.545430450278218e-13
t2.medium, Windows, ap-northeast-2, 0, 13.978799999999934, 396, 13.9788, 396, -6.572520305780927e-14
t2.medium, Windows, ap-south-1, 0, 13.535399999999969, 396, 13.5354, 396, -3.019806626980426e-14
t2.medium, Windows, ap-southeast-1, 0, 14.058000000000108, 396, 14.057999999999993, 396, 1.1546319456101628e-13
t2.medium, Windows, ap-southeast-2, 0, 14.058000000000108, 396, 14.057999999999993, 396, 1.1546319456101628e-13
t2.medium, Windows, ca-central-1, 0, 13.226400000000083, 396, 13.226399999999995, 396, 8.881784197001252e-14
t2.medium, Windows, eu-central-1, 0, 13.503600000000027, 396, 13.503600000000006, 396, 2.1316282072803006e-14
